"CountyName","LocationName","Data_Value","geometry"
"Orange",6059076202,0.273,"POINT (-117.8392835 33.8393064)"
"Orange",6059099307,0.264,"POINT (-117.9924346 33.6509015)"
"Orange",6059075506,0.243,"POINT (-117.807244 33.741904)"
"Orange",6059088701,0.242,"POINT (-117.9584718 33.7776731)"
"Orange",6059110302,0.262,"POINT (-118.0111021 33.8527439)"
"Placer",6061021044,0.253,"POINT (-121.3355152 38.7827445)"
"Placer",6061021108,0.268,"POINT (-121.238007 38.7811448)"
"Placer",6061020401,0.29,"POINT (-121.0770717 38.8923185)"
"Placer",6061021045,0.285,"POINT (-121.2989416 38.755663)"
"Orange",6059099417,0.259,"POINT (-118.0546838 33.7097167)"
"Plumas",6063000501,0.296,"POINT (-121.3550617 40.3853393)"
"Orange",6059063808,0.316,"POINT (-117.9255747 33.6552393)"
"Orange",6059099242,0.262,"POINT (-117.980803 33.719172)"
"Orange",6059110003,0.254,"POINT (-118.0198654 33.7847215)"
"Orange",6059088302,0.225,"POINT (-117.9397292 33.7874758)"
"Orange",6059110605,0.173,"POINT (-117.9713017 33.8849694)"
"Placer",6061021203,0.26,"POINT (-121.199892 38.8284635)"
"Orange",6059087806,0.3,"POINT (-117.9716643 33.8103706)"
"Orange",6059110008,0.238,"POINT (-118.0798959 33.7799533)"
"Orange",6059099407,0.262,"POINT (-118.0283982 33.7225872)"
"Orange",6059099240,0.235,"POINT (-117.95956 33.64069)"
"Orange",6059099308,0.227,"POINT (-118.0195333 33.677314)"
"Orange",6059076103,0.27,"POINT (-117.901819 33.783462)"
"Plumas",6063000100,0.289,"POINT (-120.9336052 39.9345095)"
"Orange",6059088502,0.259,"POINT (-117.9171462 33.7788137)"
"Placer",6061021109,0.246,"POINT (-121.2192849 38.7814044)"
"Orange",6059099235,0.25,"POINT (-117.9845182 33.6939797)"
"Orange",6059087505,0.321,"POINT (-117.9305408 33.8106404)"
"Placer",6061023600,0.192,"POINT (-121.2638454 38.8568609)"
"Orange",6059086402,0.282,"POINT (-117.8849288 33.8462667)"
"Orange",6059086901,0.293,"POINT (-118.0065083 33.8246197)"
"Orange",6059099412,0.261,"POINT (-118.0126393 33.7064714)"
"Placer",6061021106,0.258,"POINT (-121.250877 38.7965217)"
"Placer",6061020714,0.254,"POINT (-121.2750015 38.7246552)"
"Orange",6059075301,0.288,"POINT (-117.8809944 33.7748641)"
"Orange",6059075003,0.379,"POINT (-117.8707228 33.7572599)"
"Placer",6061021604,0.261,"POINT (-121.1646138 38.9821047)"
"Orange",6059110004,0.245,"POINT (-118.0221376 33.7772554)"
"Orange",6059074405,0.357,"POINT (-117.8596881 33.7522099)"
"Orange",6059099247,0.237,"POINT (-117.9330927 33.7416335)"
"Orange",6059063603,0.249,"POINT (-117.9427058 33.6315655)"
"Placer",6061020601,0.232,"POINT (-121.1351476 38.7673953)"
"Orange",6059074502,0.324,"POINT (-117.8600162 33.7284275)"
"Orange",6059110117,0.245,"POINT (-118.0571887 33.8258098)"
"Orange",6059099411,0.288,"POINT (-117.9978509 33.719217)"
"Orange",6059099217,0.243,"POINT (-117.9506384 33.6636513)"
"Orange",6059075902,0.294,"POINT (-117.8508355 33.7807141)"
"Orange",6059088702,0.209,"POINT (-117.9579741 33.7703805)"
"Orange",6059075403,0.29,"POINT (-117.8424353 33.7532867)"
"Orange",6059087106,0.319,"POINT (-117.9300546 33.8201019)"
"Orange",6059099903,0.274,"POINT (-118.0116756 33.7664926)"
"Orange",6059063702,0.294,"POINT (-117.9184745 33.6469108)"
"Orange",6059110005,0.233,"POINT (-118.0368158 33.7803613)"
"Orange",6059099243,0.242,"POINT (-117.9840914 33.664929)"
"Orange",6059110010,0.221,"POINT (-118.0197653 33.792026)"
"Placer",6061020901,0.314,"POINT (-121.2933052 38.7381968)"
"Orange",6059099250,0.215,"POINT (-117.9586812 33.7088786)"
"Orange",6059099905,0.283,"POINT (-118.029878 33.7701936)"
"Orange",6059099212,0.275,"POINT (-117.9847336 33.7083526)"
"Orange",6059088902,0.206,"POINT (-117.9463184 33.7632139)"
"Orange",6059086303,0.248,"POINT (-117.8907963 33.8118256)"
"Plumas",6063000400,0.305,"POINT (-120.910825 40.0916292)"
"Orange",6059088107,0.234,"POINT (-117.9756059 33.7775512)"
"Orange",6059087302,0.278,"POINT (-117.9106145 33.8342568)"
"Orange",6059087002,0.265,"POINT (-117.9717657 33.8249717)"
"Orange",6059110113,0.226,"POINT (-118.0372135 33.8066097)"
"Orange",6059076204,0.307,"POINT (-117.8613131 33.8144346)"
"Orange",6059110114,0.236,"POINT (-118.0403113 33.8131222)"
"Placer",6061022900,0.241,"POINT (-121.2769378 38.8000344)"
"Orange",6059099306,0.27,"POINT (-117.9937184 33.6661406)"
"Orange",6059087703,0.267,"POINT (-117.9632386 33.8104078)"
"Orange",6059099602,0.258,"POINT (-118.0200958 33.7516671)"
"Orange",6059099408,0.232,"POINT (-118.0371737 33.7226068)"
"Placer",6061020806,0.267,"POINT (-121.2762314 38.7453927)"
"Orange",6059063807,0.263,"POINT (-117.9278881 33.6655719)"
"Placer",6061023502,0.255,"POINT (-121.2813029 38.8499796)"
"Orange",6059063803,0.266,"POINT (-117.9416686 33.6606156)"
"Orange",6059099512,0.254,"POINT (-118.1043364 33.7444635)"
"Placer",6061021003,0.257,"POINT (-121.2757092 38.7645705)"
"Orange",6059063604,0.284,"POINT (-117.937407 33.6383279)"
"Orange",6059086404,0.302,"POINT (-117.8977733 33.8506272)"
"Orange",6059074805,0.362,"POINT (-117.9026546 33.7371813)"
"Orange",6059099513,0.249,"POINT (-118.0667384 33.7174759)"
"Orange",6059088301,0.259,"POINT (-117.9469297 33.7961504)"
"Orange",6059089003,0.269,"POINT (-117.9289907 33.7633574)"
"Placer",6061021034,0.228,"POINT (-121.2991466 38.7839394)"
"Plumas",6063000201,0.284,"POINT (-120.6672907 39.7569427)"
"Riverside",6065030104,0.351,"POINT (-117.3666531 34.0052804)"
"Orange",6059099415,0.226,"POINT (-118.0285017 33.6927414)"
"Placer",6061022100,0.232,"POINT (-120.2157838 39.1226511)"
"Orange",6059074004,0.284,"POINT (-117.8725721 33.7015141)"
"Orange",6059076102,0.285,"POINT (-117.8916633 33.7840999)"
"Orange",6059088903,0.211,"POINT (-117.9447927 33.7535135)"
"Riverside",6065042709,0.322,"POINT (-117.2157957 33.7141447)"
"Riverside",6065040806,0.326,"POINT (-117.6005669 33.9104977)"
"Riverside",6065043512,0.381,"POINT (-116.9444015 33.7716284)"
"Riverside",6065043900,0.355,"POINT (-116.9742932 33.9397208)"
"Riverside",6065043271,0.334,"POINT (-117.2755965 33.6006686)"
"Riverside",6065042621,0.354,"POINT (-117.2002245 33.9319935)"
"Riverside",6065041803,0.278,"POINT (-117.5829593 33.8367881)"
"Riverside",6065042748,0.332,"POINT (-117.2811199 33.6806028)"
"Riverside",6065040304,0.43,"POINT (-117.4162564 34.0009668)"
"Riverside",6065040611,0.285,"POINT (-117.5886982 33.9608518)"
"Riverside",6065043309,0.398,"POINT (-116.9504264 33.751115)"
"Riverside",6065042907,0.412,"POINT (-117.2540952 33.7398538)"
"Riverside",6065043809,0.313,"POINT (-116.9469611 33.976834)"
"Riverside",6065045214,0.308,"POINT (-116.2855037 33.7365423)"
"Riverside",6065044927,0.288,"POINT (-116.3212439 33.7509498)"
"Riverside",6065042733,0.334,"POINT (-117.2267421 33.665223)"
"Riverside",6065042515,0.425,"POINT (-117.2406622 33.9354567)"
"Riverside",6065042520,0.393,"POINT (-117.2250806 33.9304056)"
"Riverside",6065040813,0.311,"POINT (-117.5336103 33.916534)"
"Riverside",6065044300,0.374,"POINT (-116.8724065 33.919657)"
"Riverside",6065043702,0.371,"POINT (-116.9112184 33.7510081)"
"Riverside",6065042902,0.394,"POINT (-117.3068207 33.7493413)"
"Riverside",6065031503,0.335,"POINT (-117.4393372 33.9381423)"
"Riverside",6065041808,0.287,"POINT (-117.5718743 33.8473236)"
"Riverside",6065043008,0.341,"POINT (-117.4175994 33.6671772)"
"Riverside",6065042510,0.386,"POINT (-117.2393048 33.9100517)"
"Riverside",6065043293,0.316,"POINT (-116.9590173 33.5428104)"
"Riverside",6065040603,0.377,"POINT (-117.526465 33.9705168)"
"Riverside",6065044520,0.359,"POINT (-116.3795881 33.8530222)"
"Riverside",6065041910,0.317,"POINT (-117.4949771 33.7892199)"
"Riverside",6065042724,0.318,"POINT (-117.1493903 33.6960986)"
"Riverside",6065040605,0.373,"POINT (-117.5140276 33.9962787)"
"Riverside",6065041202,0.364,"POINT (-117.470731 33.9344497)"
"Riverside",6065044102,0.373,"POINT (-116.8940377 33.9307499)"
"Riverside",6065041203,0.377,"POINT (-117.457896 33.9337586)"
"Riverside",6065042519,0.411,"POINT (-117.2274689 33.9373528)"
"Riverside",6065043222,0.318,"POINT (-117.1248116 33.4870977)"
"Riverside",6065044934,0.418,"POINT (-116.4624115 33.8050597)"
"Riverside",6065044515,0.384,"POINT (-116.5112051 33.9373778)"
"Riverside",6065042408,0.365,"POINT (-117.2309662 33.9542945)"
"Riverside",6065045109,0.378,"POINT (-116.3122385 33.6549641)"
"Riverside",6065043306,0.375,"POINT (-116.9996659 33.7332579)"
"Riverside",6065041702,0.362,"POINT (-117.576529 33.8674156)"
"Riverside",6065045124,0.327,"POINT (-116.4287162 33.676516)"
"Riverside",6065040815,0.299,"POINT (-117.5115316 33.8930996)"
"Riverside",6065040202,0.368,"POINT (-117.4334348 33.9821628)"
"Riverside",6065041404,0.344,"POINT (-117.4724083 33.8922056)"
"Riverside",6065044602,0.337,"POINT (-116.5369071 33.8376124)"
"Riverside",6065043313,0.386,"POINT (-116.9506407 33.7338858)"
"Riverside",6065045110,0.359,"POINT (-116.3111037 33.6653271)"
"Riverside",6065040617,0.27,"POINT (-117.5716816 33.9798033)"
"Riverside",6065042003,0.305,"POINT (-117.3647047 33.8706184)"
"Riverside",6065040201,0.36,"POINT (-117.4187992 33.9839503)"
"Riverside",6065044933,0.394,"POINT (-116.4624623 33.8123211)"
"Riverside",6065043297,0.3,"POINT (-117.0783394 33.5554102)"
"Riverside",6065042412,0.341,"POINT (-117.2209105 33.9843338)"
"Riverside",6065041904,0.322,"POINT (-117.6536965 33.8817748)"
"Riverside",6065041408,0.347,"POINT (-117.469161 33.9042089)"
"Riverside",6065040404,0.347,"POINT (-117.4613233 33.9729184)"
"Riverside",6065041602,0.393,"POINT (-117.5541498 33.8772272)"
"Riverside",6065043278,0.297,"POINT (-117.1893494 33.6090726)"
"Riverside",6065045306,0.334,"POINT (-116.20799 33.7413288)"
"Riverside",6065042514,0.387,"POINT (-117.2481693 33.9336217)"
"Riverside",6065044911,0.331,"POINT (-116.3141498 33.7318369)"
"Riverside",6065045235,0.33,"POINT (-116.2818505 33.7164015)"
"Riverside",6065045123,0.286,"POINT (-116.3498891 33.7257301)"
"Riverside",6065042630,0.378,"POINT (-117.1933153 33.8338634)"
"Riverside",6065042801,0.408,"POINT (-117.2279668 33.7911596)"
"Riverside",6065043318,0.358,"POINT (-117.0232843 33.7228335)"
"Riverside",6065044523,0.34,"POINT (-116.4359785 33.9339564)"
"Riverside",6065044509,0.408,"POINT (-116.5060565 33.9650257)"
"Riverside",6065040403,0.353,"POINT (-117.4960233 33.9918254)"
"Riverside",6065045222,0.327,"POINT (-116.1809846 33.7259738)"
"Riverside",6065044925,0.332,"POINT (-116.4711902 33.8269186)"
"Riverside",6065042629,0.374,"POINT (-117.1987844 33.8411165)"
"Riverside",6065041403,0.319,"POINT (-117.461188 33.897337)"
"Riverside",6065042622,0.341,"POINT (-117.1876334 33.9260714)"
"Riverside",6065044916,0.382,"POINT (-116.4493909 33.7942301)"
"Riverside",6065044403,0.353,"POINT (-116.4711924 33.4671972)"
"Riverside",6065042505,0.439,"POINT (-117.28252 33.9293133)"
"Riverside",6065042004,0.312,"POINT (-117.3755427 33.8872834)"
"Riverside",6065043310,0.406,"POINT (-116.9363867 33.7452198)"
"Riverside",6065042625,0.366,"POINT (-117.23009 33.8390883)"
"Riverside",6065043205,0.32,"POINT (-117.1070103 33.6046821)"
"Riverside",6065045207,0.406,"POINT (-116.2405275 33.7074307)"
"Riverside",6065042016,0.333,"POINT (-117.3072947 33.8918646)"
"Riverside",6065040807,0.332,"POINT (-117.5896725 33.9048342)"
